Timestamp,Age,Gender,Height,Weight,Menu Preferences (iCanteen) [ก๋วยเตี๋ยวไก่],Menu Preferences (iCanteen) [เกี๋ยวน้ำหมูแดง],Menu Preferences (iCanteen) [ข้าวเหนียวไก่ทอด],Menu Preferences (iCanteen) [ไก่ทอดน้ำตก],Menu Preferences (iCanteen) [ข้าวแกงกะหรี่หมูทอด],Menu Preferences (iCanteen) [ข้าวเหนียวคอหมูย่าง],Menu Preferences (iCanteen) [เส้นเล็กต้มยำ],Menu Preferences (iCanteen) [มาม่าน้ำตกหมู],Menu Preferences (iCanteen) [ต้มเลือดหมู],Menu Preferences (iCanteen) [โจ๊กหมู],Menu Preferences (iCanteen) [สุกี้หมู],Menu Preferences (iCanteen) [ข้าวไข่ข้น],Menu Preferences (iCanteen) [ข้าวกะเพราหมู],Menu Preferences (iCanteen) [ข้าวไก่บาร์บีคิว],Menu Preferences (iCanteen) [บะหมี่น้ำหมูแดง],Menu Preferences (iCanteen) [ข้าวมันไก่],Menu Preferences (iCanteen) [ข้าวมันไก่ทอด],Menu Preferences (iCanteen) [ข้าวเหนียวหมูน้ำตก],Menu Preferences (iCanteen) [คั่วไก่],Menu Preferences (iCanteen) [ผัดซีอิ้วหมู],Food Preferences (choose what you like)
22/02/2023 15:37:06,22,Female,165,55,3 - Neutral,5 - Strongly Like,5 - Strongly Like,4 - Like,4 - Like,5 - Strongly Like,5 - Strongly Like,4 - Like,2 - Dislike,2 - Dislike,3 - Neutral,3 - Neutral,4 - Like,5 - Strongly Like,4 - Like,2 - Dislike,5 - Strongly Like,4 - Like,3 - Neutral,3 - Neutral,"Spicy, Sweet, Salty, Fried, Vegetable, Chicken, Pork, Cheap (Price)"
22/02/2023 15:37:13,22,Male,171,56,3 - Neutral,3 - Neutral,4 - Like,4 - Like,4 - Like,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,2 - Dislike,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,"Spicy, Salty, Fried, Chicken, Pork, Cheap (Price)"
22/02/2023 15:37:23,22,Male,175,75,3 - Neutral,4 - Like,5 - Strongly Like,3 - Neutral,5 - Strongly Like,5 - Strongly Like,4 - Like,4 - Like,2 - Dislike,4 - Like,4 - Like,4 - Like,5 - Strongly Like,5 - Strongly Like,4 - Like,3 - Neutral,4 - Like,4 - Like,4 - Like,5 - Strongly Like,"Spicy, Fried, Pork"
22/02/2023 15:38:48,21,Male,155,53,3 - Neutral,2 - Dislike,5 - Strongly Like,2 - Dislike,4 - Like,2 - Dislike,1 - Strongly Dislike,3 - Neutral,2 - Dislike,5 - Strongly Like,3 - Neutral,5 - Strongly Like,4 - Like,3 - Neutral,2 - Dislike,4 - Like,5 - Strongly Like,4 - Like,2 - Dislike,1 - Strongly Dislike,"Spicy, Sweet, Fried, Steam, Pork, Cheap (Price)"
22/02/2023 15:40:00,21,Male,175,59,2 - Dislike,2 - Dislike,4 - Like,4 - Like,1 - Strongly Dislike,3 - Neutral,5 - Strongly Like,5 - Strongly Like,3 - Neutral,3 - Neutral,2 - Dislike,,2 - Dislike,2 - Dislike,2 - Dislike,2 - Dislike,2 - Dislike,2 - Dislike,2 - Dislike,2 - Dislike,"Salty, Fried"
22/02/2023 15:40:14,20,Male,175,65,3 - Neutral,3 - Neutral,5 - Strongly Like,3 - Neutral,4 - Like,5 - Strongly Like,3 - Neutral,3 - Neutral,2 - Dislike,3 - Neutral,3 - Neutral,5 - Strongly Like,3 - Neutral,3 - Neutral,2 - Dislike,1 - Strongly Dislike,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,"Salty, Fried, Chicken"
22/02/2023 15:40:30,23,Male,169,60,2 - Dislike,2 - Dislike,3 - Neutral,3 - Neutral,3 - Neutral,4 - Like,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,2 - Dislike,3 - Neutral,2 - Dislike,2 - Dislike,3 - Neutral,2 - Dislike,5 - Strongly Like,2 - Dislike,3 - Neutral,"Spicy, Vegetable, Soup (Contain water)"
22/02/2023 15:44:21,33,Male,175,92,4 - Like,3 - Neutral,2 - Dislike,2 - Dislike,3 - Neutral,4 - Like,4 - Like,4 - Like,5 - Strongly Like,4 - Like,5 - Strongly Like,3 - Neutral,2 - Dislike,2 - Dislike,2 - Dislike,5 - Strongly Like,4 - Like,3 - Neutral,4 - Like,4 - Like,"Spicy, Sweet, Salty, Vegetable, Chicken"
22/02/2023 15:44:59,25,Male,178,83,3 - Neutral,3 - Neutral,4 - Like,4 - Like,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,2 - Dislike,3 - Neutral,2 - Dislike,3 - Neutral,4 - Like,2 - Dislike,2 - Dislike,2 - Dislike,"Spicy, Sweet, Fried, Steam, Soup (Contain water), Chicken, Pork"
22/02/2023 15:49:46,20,Male,173,77,3 - Neutral,4 - Like,5 - Strongly Like,3 - Neutral,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,2 - Dislike,1 - Strongly Dislike,2 - Dislike,3 - Neutral,5 - Strongly Like,4 - Like,3 - Neutral,5 - Strongly Like,4 - Like,5 - Strongly Like,5 - Strongly Like,1 - Strongly Dislike,2 - Dislike,"Sweet, Salty, Fried, Vegetable, Pork"
22/02/2023 15:50:15,20,Female,163,80,3 - Neutral,4 - Like,3 - Neutral,5 - Strongly Like,5 - Strongly Like,4 - Like,3 - Neutral,5 - Strongly Like,5 - Strongly Like,3 - Neutral,5 - Strongly Like,2 - Dislike,5 - Strongly Like,3 - Neutral,5 - Strongly Like,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,"Spicy, Vegetable, Cheap (Price)"
22/02/2023 15:51:16,19,Male,180,60,3 - Neutral,3 - Neutral,4 - Like,3 - Neutral,4 - Like,4 - Like,4 - Like,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,5 - Strongly Like,3 - Neutral,4 - Like,3 - Neutral,3 - Neutral,4 - Like,3 - Neutral,3 - Neutral,3 - Neutral,"Salty, Fried, Steam, Vegetable, Chicken, Pork, Cheap (Price)"
22/02/2023 15:51:24,26,Male,173,54,3 - Neutral,2 - Dislike,3 - Neutral,3 - Neutral,4 - Like,4 - Like,2 - Dislike,3 - Neutral,4 - Like,4 - Like,4 - Like,5 - Strongly Like,5 - Strongly Like,3 - Neutral,2 - Dislike,4 - Like,4 - Like,3 - Neutral,3 - Neutral,3 - Neutral,"Vegetable, Soup (Contain water), Pork"
22/02/2023 15:52:05,21,Male,172,61,2 - Dislike,2 - Dislike,5 - Strongly Like,3 - Neutral,2 - Dislike,4 - Like,2 - Dislike,2 - Dislike,2 - Dislike,3 - Neutral,2 - Dislike,4 - Like,2 - Dislike,2 - Dislike,2 - Dislike,4 - Like,4 - Like,2 - Dislike,2 - Dislike,1 - Strongly Dislike,"Spicy, Salty, Chicken"
22/02/2023 15:52:09,22,Female,166,53,3 - Neutral,3 - Neutral,4 - Like,3 - Neutral,2 - Dislike,4 - Like,4 - Like,4 - Like,3 - Neutral,3 - Neutral,4 - Like,3 - Neutral,3 - Neutral,4 - Like,3 - Neutral,4 - Like,3 - Neutral,4 - Like,3 - Neutral,3 - Neutral,"Spicy, Steam, Chicken, Cheap (Price)"
22/02/2023 15:52:10,21,Female,163,70,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,4 - Like,4 - Like,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,"Soup (Contain water), Pork, Cheap (Price)"
22/02/2023 15:52:53,21,Female,165,60,4 - Like,5 - Strongly Like,4 - Like,3 - Neutral,4 - Like,4 - Like,5 - Strongly Like,5 - Strongly Like,2 - Dislike,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,4 - Like,2 - Dislike,4 - Like,3 - Neutral,3 - Neutral,2 - Dislike,"Spicy, Steam, Vegetable, Soup (Contain water), Chicken, Pork, Cheap (Price)"
22/02/2023 15:55:09,23,Male,171,76,3 - Neutral,3 - Neutral,5 - Strongly Like,3 - Neutral,4 - Like,5 - Strongly Like,3 - Neutral,3 - Neutral,5 - Strongly Like,4 - Like,4 - Like,4 - Like,4 - Like,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,"Spicy, Salty, Vegetable, Pork"
22/02/2023 15:55:51,21,Female,164,48,3 - Neutral,3 - Neutral,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,3 - Neutral,3 - Neutral,5 - Strongly Like,4 - Like,5 - Strongly Like,4 - Like,3 - Neutral,3 - Neutral,2 - Dislike,5 - Strongly Like,5 - Strongly Like,1 - Strongly Dislike,1 - Strongly Dislike,"Salty, Steam, Soup (Contain water), Pork, Cheap (Price)"
22/02/2023 15:58:25,22,Male,182,65,5 - Strongly Like,3 - Neutral,3 - Neutral,2 - Dislike,4 - Like,4 - Like,5 - Strongly Like,4 - Like,5 - Strongly Like,4 - Like,4 - Like,4 - Like,3 - Neutral,5 - Strongly Like,3 - Neutral,4 - Like,3 - Neutral,3 - Neutral,2 - Dislike,2 - Dislike,"Spicy, Salty, Vegetable, Soup (Contain water), Pork, Cheap (Price)"
22/02/2023 15:58:56,21,Male,180,69,,,5 - Strongly Like,,5 - Strongly Like,,,,,,4 - Like,5 - Strongly Like,,,,4 - Like,4 - Like,,,,"Sweet, Fried, Chicken, Pork, Cheap (Price)"
22/02/2023 15:59:35,22,Female,164,48,3 - Neutral,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,2 - Dislike,5 - Strongly Like,3 - Neutral,4 - Like,4 - Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,4 - Like,5 - Strongly Like,3 - Neutral,3 - Neutral,5 - Strongly Like,2 - Dislike,2 - Dislike,"Salty, Fried, Steam, Vegetable, Soup (Contain water), Pork"
22/02/2023 16:06:03,22,Male,175,71,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,4 - Like,4 - Like,5 - Strongly Like,2 - Dislike,3 - Neutral,2 - Dislike,4 - Like,3 - Neutral,3 - Neutral,5 - Strongly Like,5 - Strongly Like,2 - Dislike,2 - Dislike,2 - Dislike,"Sweet, Vegetable, Soup (Contain water), Chicken, Pork, Cheap (Price)"
22/02/2023 16:09:02,19,Female,168,49,3 - Neutral,3 - Neutral,5 - Strongly Like,3 - Neutral,4 - Like,5 - Strongly Like,3 - Neutral,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,4 - Like,5 - Strongly Like,3 - Neutral,5 - Strongly Like,3 - Neutral,3 - Neutral,4 - Like,3 - Neutral,5 - Strongly Like,5 - Strongly Like,"Sweet, Salty, Steam, Vegetable, Soup (Contain water), Chicken, Pork"
22/02/2023 16:09:41,20,Female,164,50,3 - Neutral,4 - Like,4 - Like,1 - Strongly Dislike,4 - Like,3 - Neutral,1 - Strongly Dislike,1 - Strongly Dislike,3 - Neutral,4 - Like,2 - Dislike,4 - Like,3 - Neutral,4 - Like,4 - Like,4 - Like,4 - Like,1 - Strongly Dislike,4 - Like,3 - Neutral,"Sweet, Salty, Fried, Steam, Soup (Contain water), Chicken, Pork, Cheap (Price)"
22/02/2023 16:11:37,20,Male,171,52,4 - Like,4 - Like,5 - Strongly Like,3 - Neutral,3 - Neutral,4 - Like,4 - Like,4 - Like,3 - Neutral,3 - Neutral,3 - Neutral,4 - Like,4 - Like,4 - Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,3 - Neutral,4 - Like,4 - Like,"Fried, Chicken, Pork"
22/02/2023 16:14:46,21,Male,163,59,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,1 - Strongly Dislike,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,1 - Strongly Dislike,5 - Strongly Like,"Spicy, Sweet, Salty, Fried, Steam, Vegetable, Soup (Contain water), Chicken, Pork, Cheap (Price)"
22/02/2023 16:16:55,21,Male,180,58,5 - Strongly Like,5 - Strongly Like,4 - Like,4 - Like,3 - Neutral,3 - Neutral,4 - Like,5 - Strongly Like,3 - Neutral,2 - Dislike,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,5 - Strongly Like,4 - Like,4 - Like,4 - Like,3 - Neutral,3 - Neutral,"Spicy, Sweet, Salty, Fried, Soup (Contain water), Chicken, Pork"
22/02/2023 16:20:42,20,Female,160,65,3 - Neutral,3 - Neutral,4 - Like,4 - Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,4 - Like,3 - Neutral,3 - Neutral,3 - Neutral,4 - Like,5 - Strongly Like,5 - Strongly Like,3 - Neutral,4 - Like,4 - Like,5 - Strongly Like,5 - Strongly Like,3 - Neutral,"Spicy, Sweet, Salty, Vegetable, Cheap (Price)"
22/02/2023 16:24:16,20,Female,169,59,3 - Neutral,4 - Like,4 - Like,3 - Neutral,5 - Strongly Like,5 - Strongly Like,4 - Like,3 - Neutral,2 - Dislike,4 - Like,3 - Neutral,5 - Strongly Like,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,4 - Like,3 - Neutral,4 - Like,3 - Neutral,"Sweet, Salty, Fried, Pork"
22/02/2023 16:34:06,22,Male,173,75,3 - Neutral,4 - Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,4 - Like,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,"Spicy, Fried, Soup (Contain water), Cheap (Price)"
22/02/2023 16:54:37,20,Female,170,55,4 - Like,5 - Strongly Like,5 - Strongly Like,3 - Neutral,2 - Dislike,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,3 - Neutral,3 - Neutral,4 - Like,2 - Dislike,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,4 - Like,5 - Strongly Like,3 - Neutral,2 - Dislike,"Spicy, Salty, Vegetable, Soup (Contain water), Chicken, Pork"
22/02/2023 17:04:38,18,Male,170,60,,,,,,,,,,,,,,,,,,,,,"Sweet, Fried, Steam, Vegetable, Soup (Contain water), Chicken, Pork, Cheap (Price)"
22/02/2023 17:04:50,27,Female,167,50,4 - Like,2 - Dislike,3 - Neutral,4 - Like,5 - Strongly Like,4 - Like,5 - Strongly Like,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,4 - Like,5 - Strongly Like,4 - Like,5 - Strongly Like,4 - Like,4 - Like,4 - Like,5 - Strongly Like,2 - Dislike,"Vegetable, Soup (Contain water)"
22/02/2023 17:09:10,21,Female,164,75,3 - Neutral,4 - Like,5 - Strongly Like,3 - Neutral,5 - Strongly Like,5 - Strongly Like,3 - Neutral,4 - Like,2 - Dislike,3 - Neutral,4 - Like,5 - Strongly Like,5 - Strongly Like,3 - Neutral,4 - Like,4 - Like,4 - Like,3 - Neutral,5 - Strongly Like,2 - Dislike,"Salty, Fried, Vegetable, Chicken, Pork"
22/02/2023 17:34:05,19,Male,174,64,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,Pork
22/02/2023 17:42:15,28,Male,163,62,,,,,,,,5 - Strongly Like,,,,5 - Strongly Like,,,,,,,,,"Steam, Vegetable, Soup (Contain water), Cheap (Price)"
22/02/2023 17:51:18,24,Male,174,77,3 - Neutral,5 - Strongly Like,4 - Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,3 - Neutral,4 - Like,5 - Strongly Like,2 - Dislike,4 - Like,3 - Neutral,3 - Neutral,3 - Neutral,5 - Strongly Like,3 - Neutral,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,1 - Strongly Dislike,"Spicy, Sweet, Salty, Fried, Steam, Soup (Contain water), Pork, Cheap (Price)"
22/02/2023 18:11:27,21,Female,163,53,3 - Neutral,5 - Strongly Like,3 - Neutral,4 - Like,2 - Dislike,5 - Strongly Like,5 - Strongly Like,4 - Like,5 - Strongly Like,5 - Strongly Like,3 - Neutral,4 - Like,3 - Neutral,3 - Neutral,5 - Strongly Like,3 - Neutral,4 - Like,5 - Strongly Like,2 - Dislike,2 - Dislike,"Fried, Pork"
22/02/2023 18:34:24,21,Female,168,44.5,3 - Neutral,2 - Dislike,5 - Strongly Like,3 - Neutral,3 - Neutral,5 - Strongly Like,4 - Like,1 - Strongly Dislike,5 - Strongly Like,3 - Neutral,5 - Strongly Like,5 - Strongly Like,2 - Dislike,4 - Like,2 - Dislike,3 - Neutral,3 - Neutral,4 - Like,5 - Strongly Like,5 - Strongly Like,"Soup (Contain water), Chicken, Cheap (Price)"
22/02/2023 18:53:45,20,Female,172,57,4 - Like,4 - Like,4 - Like,2 - Dislike,3 - Neutral,3 - Neutral,5 - Strongly Like,2 - Dislike,1 - Strongly Dislike,3 - Neutral,3 - Neutral,4 - Like,3 - Neutral,3 - Neutral,3 - Neutral,5 - Strongly Like,5 - Strongly Like,3 - Neutral,5 - Strongly Like,3 - Neutral,"Spicy, Sweet, Salty, Fried, Steam, Chicken"
22/02/2023 19:32:21,22,Female,163,60,3 - Neutral,3 - Neutral,5 - Strongly Like,4 - Like,3 - Neutral,3 - Neutral,3 - Neutral,4 - Like,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,"Sweet, Salty, Chicken, Pork"
22/02/2023 19:40:52,21,Male,174,70,3 - Neutral,3 - Neutral,4 - Like,3 - Neutral,2 - Dislike,5 - Strongly Like,3 - Neutral,3 - Neutral,3 - Neutral,4 - Like,3 - Neutral,3 - Neutral,3 - Neutral,4 - Like,3 - Neutral,3 - Neutral,3 - Neutral,4 - Like,3 - Neutral,3 - Neutral,"Sweet, Salty, Fried, Chicken, Pork, Cheap (Price)"
22/02/2023 19:50:52,20,Female,162,48,2 - Dislike,2 - Dislike,3 - Neutral,3 - Neutral,4 - Like,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,4 - Like,4 - Like,5 - Strongly Like,5 - Strongly Like,5 - Strongly Like,2 - Dislike,3 - Neutral,4 - Like,3 - Neutral,2 - Dislike,1 - Strongly Dislike,"Salty, Fried, Pork"
